code,name,indexCode,index,Acode,Aname,Bcode,Bname,Aratio,Bratio,MSubRat,MRdmRat
OF160218,国泰地产,SZ399393,国证地产,SZ150117,房地产A,SZ150118,房地产B,5,5,0.005,0.00405
OF160219,国泰医药,SZ399394,国证医药,SZ150130,医药A,SZ150131,医药B,5,5,0.005,0.00405
OF160221,国泰有色,SZ399395,国证有色,SZ150196,有色A,SZ150197,有色B,5,5,0,0.007
OF160222,国泰食品,SZ399396,国证食品,SZ150198,食品A,SZ150199,食品B,5,5,0,0.007
OF160224,国泰TMT,SZ399610,TMT50,SZ150215,TMTA,SZ150216,TMTB,5,5,0,0.007
OF160620,资源分级,SH000805,A股资源,SZ150100,资源A,SZ150101,资源B,5,5,0.006,0.00405
OF160625,证保分级,SZ399966,800证保,SZ150177,证保A,SZ150178,证保B,5,5,0.006,0.00405
OF160626,信息分级,SZ399935,中证信息,SZ150179,信息A,SZ150180,信息B,5,5,0.006,0.00405
OF160628,房地产,SZ399965,800地产,SZ150192,地产A,SZ150193,地产B,5,5,0.006,0.00445
OF160629,传媒分级,SZ399971,中证传媒,SZ150203,传媒A,SZ150204,传媒B,5,5,0.006,0.00445
OF160630,国防分级,SZ399973,中证国防,SZ150205,国防A,SZ150206,国防B,5,5,0.006,0.00445
OF160631,银行指基,SZ399986,中证银行,SZ150227,银行A,SZ150228,银行B,5,5,0.006,0.00445
OF160632,酒分级,SZ399987,中证酒,SZ150229,酒A,SZ150230,酒B,5,5,0.006,0.00445
OF160633,券商指基,SZ399975,证券公司,SZ150235,券商A级,SZ150236,券商B级,5,5,0.006,0.00445
OF161022,创业分级,SZ399006,创业板指,SZ150152,创业板A,SZ150153,创业板B,5,5,0.006,0.005
OF161024,军工分级,SZ399967,中证军工,SZ150181,军工A,SZ150182,军工B,5,5,0.006,0.005
OF161025,移动互联,SZ399970,移动互联,SZ150194,互联网A,SZ150195,互联网B,5,5,0.006,0.005
OF161026,国企改革,SZ399974,国企改革,SZ150209,国企改A,SZ150210,国企改B,5,5,0.006,0.005
OF161027,证券分级,SZ399975,证券公司,SZ150223,证券A级,SZ150224,证券B级,5,5,0.006,0.005
OF161028,新能源车,SZ399976,CS新能车,SZ150211,新能车A,SZ150212,新能车B,5,5,0.006,0.005
OF161029,银行分级,SZ399986,中证银行,SZ150241,银行A级,SZ150242,银行B级,5,5,0.006,0.005
OF161118,易基中小,SZ399005,中小板指,SZ150106,中小A,SZ150107,中小B,5,5,0.006,0.00425
OF161223,国投创业,SZ399958,创业成长,SZ150213,国投创A,SZ150214,国投创B,5,5,0.0025,0.005
OF161715,大宗商品,SZ399979,大宗商品,SZ150096,商品A,SZ150097,商品B,5,5,0.006,0.00405
OF161720,券商分级,SZ399975,证券公司,SZ150200,券商A,SZ150201,券商B,5,5,0.005,0.00405
OF161811,300分级,SZ399300,沪深300,SZ150167,银华300A,SZ150168,银华300B,5,5,0.006,0.00405
OF161812,100分级,SZ399330,深证100R,SZ150018,银华稳进,SZ150019,银华锐进,5,5,0.006,0.00405
OF161819,中证资源,SZ399944,内地资源,SZ150059,资源A级,SZ150060,资源B级,4,6,0.006,0.00405
OF162509,双禧100,SZ399903,中证100,SZ150012,双禧A,SZ150013,双禧B,4,6,0.006,0.00405
OF163109,申万深成,SZ399001,深证成指,SZ150022,深成指A,SZ150023,深成指B,5,5,0.006,0.00405
OF163111,申万中小,SZ399005,中小板指,SZ150085,中小板A,SZ150086,中小板B,5,5,0.006,0.00405
OF163113,申万证券,SZ399707,CSSW证券,SZ150171,证券A,SZ150172,证券B,5,5,0.006,0.00375
OF163114,申万环保,SH000827,中证环保,SZ150184,环保A,SZ150185,环保B,5,5,0.005,0.00375
OF163115,申万军工,SZ399967,中证军工,SZ150186,军工A级,SZ150187,军工B级,5,5,0.005,0.00375
OF164304,新华环保,SH000827,中证环保,SZ150190,NCF环保A,SZ150191,NCF环保B,5,5,0.005,0.00405
OF164905,交银新能,SZ399412,国证新能,SZ150217,新能源A,SZ150218,新能源B,5,5,0.006,0.00405
OF165312,建信50,SZ399550,央视50,SZ150123,建信50A,SZ150124,建信50B,5,5,0.006,0.00405
OF165511,信诚500,SZ399905,中证500,SZ150028,中证500A,SZ150029,中证500B,4,6,0.006,0.00405
OF165515,信诚300,SZ399300,沪深300,SZ150051,沪深300A,SZ150052,沪深300B,5,5,0.006,0.00405
OF165519,信诚医药,SH000841,800医药,SZ150148,医药800A,SZ150149,医药800B,5,5,0.006,0.00405
OF165520,信诚有色,SH000823,800有色,SZ150150,有色800A,SZ150151,有色800B,5,5,0.006,0.00405
OF165521,信诚金融,SH000974,800金融,SZ150157,金融A,SZ150158,金融B,5,5,0.006,0.00405
OF165522,信诚TMT,SH000998,中证TMT,SZ150173,TMT中证A,SZ150174,TMT中证B,5,5,0.005,0.00405
